-----------------------
Table for fillrandom
-----------------------
Threads,FusionFS,HostCache-user-level,OmniCache
fillrandom,34.8,29.1,29.7
-----------------------
Table for readrandom
-----------------------
Threads,FusionFS,HostCache-user-level,OmniCache
readrandom,61.9,73.7,146.0
